,City,Cloudiness,Country,Date,Humidity,Lat,Lng,Max Temp,Wind Speed
382,rondonopolis,0,BR,1602989604,64,-16.47,-54.64,76.59,2.48
383,champasak,75,LA,1602989758,100,14.75,106.0,73.4,2.24
384,kingaroy,100,AU,1602989758,36,-26.53,151.83,82.99,11.41
385,camana,70,PE,1602989759,77,-16.62,-72.71,62.51,5.32
386,kupang,20,ID,1602989759,52,-10.17,123.58,91.4,8.05
387,cleveland,90,US,1602989712,37,41.5,-81.7,55.0,12.75
388,lieksa,100,FI,1602989759,85,63.32,30.02,42.73,9.31
389,treinta y tres,36,UY,1602989759,84,-33.23,-54.38,60.03,7.07
390,hofn,100,IS,1602989759,81,64.25,-15.21,40.19,5.57
391,santa cruz,40,BO,1602989751,69,-17.8,-63.17,78.8,6.93
392,esmeraldas,40,BR,1602989674,88,-19.76,-44.31,62.6,12.75
393,magadan,100,RU,1602989760,92,59.57,150.8,33.94,5.82
394,komsomolskiy,0,UZ,1602989760,54,40.43,71.72,53.6,9.17
395,colac,100,AU,1602989760,81,-38.33,143.58,54.0,1.99
396,constitucion,0,CL,1602989760,78,-35.33,-72.42,50.43,7.76
397,gushikawa,1,JP,1602989760,65,26.35,127.87,82.4,14.99
398,zhaotong,100,CN,1602989760,87,27.32,103.72,45.41,5.53
399,kinablangan,100,PH,1602989760,66,7.69,126.55,85.62,3.22
400,bandarbeyla,0,SO,1602989760,77,9.49,50.81,78.96,8.39
401,new glasgow,25,CA,1602989761,83,45.58,-62.65,55.99,10.0
402,schiffweiler,20,DE,1602989761,93,49.37,7.13,37.4,2.24
403,hirara,40,JP,1602989761,74,24.8,125.28,84.2,14.99
404,ixtapa,20,MX,1602989761,79,20.7,-105.2,86.0,4.7
405,vilyuysk,0,RU,1602989761,90,63.76,121.62,16.9,4.16
406,impfondo,85,CG,1602989476,96,1.64,18.07,69.67,2.46
407,lata,57,PT,1602989761,92,40.16,-8.33,60.01,3.33
408,uthal,1,PK,1602989762,12,25.81,66.62,86.32,7.94
409,puerto de la cruz,75,ES,1602989762,87,28.41,-16.55,66.99,2.04
410,pechory,5,RU,1602989762,94,57.82,27.61,33.8,7.02
411,dingle,52,PH,1602989762,73,11.0,122.67,86.22,7.78
412,port-gentil,100,GA,1602989762,87,-0.72,8.78,77.54,9.55
413,rabo de peixe,40,PT,1602989762,67,37.8,-25.58,60.8,6.93
414,ponta do sol,40,PT,1602989706,68,32.67,-17.1,69.8,18.34
415,isangel,0,VU,1602989762,58,-19.55,169.27,76.64,12.3
416,alindao,95,CF,1602989763,94,5.03,21.21,69.42,1.1
417,sijunjung,89,ID,1602989763,51,-0.69,100.95,88.25,1.14
418,valparaiso,90,CL,1602989495,100,-33.04,-71.63,51.8,5.82
419,menongue,2,AO,1602989763,53,-14.66,17.69,65.98,3.18
420,jalu,0,LY,1602989763,23,29.03,21.55,78.01,12.64
421,norman wells,5,CA,1602989763,62,65.28,-126.83,19.4,4.7
422,yerofey pavlovich,89,RU,1602989763,74,53.97,121.97,29.61,3.56
423,lorengau,5,PG,1602989763,66,-2.02,147.27,85.6,9.82
424,broken hill,75,AU,1602989763,54,-31.95,141.43,59.0,13.87
425,tiarei,40,PF,1602989764,78,-17.53,-149.33,80.6,16.11
426,okhotsk,67,RU,1602989764,78,59.38,143.3,28.6,12.88
427,non sang,90,TH,1602989764,94,16.87,102.57,71.6,8.05
428,marzuq,0,YE,1602989764,29,14.4,46.47,63.63,3.18
429,tapachula,40,MX,1602989764,94,14.9,-92.28,78.8,3.0
430,sorland,74,NO,1602989764,64,67.67,12.69,43.38,27.02
431,mandalgovi,0,MN,1602989764,52,45.76,106.27,42.8,11.5
432,mount isa,0,AU,1602989765,20,-20.73,139.5,96.8,8.05
433,siilinjarvi,90,FI,1602989765,86,63.08,27.67,41.0,6.93
434,hammerfest,98,NO,1602989765,92,70.66,23.68,30.2,8.05
435,terekli-mekteb,42,RU,1602989765,99,44.17,45.87,54.82,2.24
436,kumba,100,CM,1602989765,96,4.64,9.45,71.96,1.12
437,dangara,0,IN,1602989765,24,29.68,75.89,78.24,2.8
438,mnogovershinnyy,99,RU,1602989765,84,53.94,139.92,35.46,1.28
439,borovskoy,0,KZ,1602989765,93,53.8,64.15,31.75,7.65
440,trinidad,3,BO,1602989766,49,-14.83,-64.9,81.16,2.37
441,mpophomeni,0,ZA,1602989766,58,-29.57,30.19,60.28,3.4
442,khorramabad,0,IR,1602989766,45,33.49,48.36,48.42,3.91
443,kulu,6,TR,1602989766,36,39.1,33.08,58.3,2.06
444,newport,97,GB,1602989766,87,51.59,-3.0,44.01,4.32
445,atmakur,95,IN,1602989767,74,15.88,78.58,78.57,2.26
446,nemuro,20,JP,1602989767,41,43.32,145.57,60.8,13.87
447,weinan,67,CN,1602989767,71,34.5,109.51,59.0,4.47
448,sainte-agathe-des-monts,5,CA,1602989497,80,46.05,-74.28,45.0,4.97
449,te anau,100,NZ,1602989767,61,-45.42,167.72,57.52,4.16
450,puerto narino,75,CO,1602989767,100,-3.77,-70.38,77.0,1.92
451,awbari,0,LY,1602989767,19,26.59,12.78,74.8,6.71
452,brae,90,GB,1602989767,65,60.4,-1.35,41.0,8.05
453,ambulu,62,ID,1602989768,58,-8.35,113.61,85.53,5.97
454,aljezur,46,PT,1602989768,93,37.32,-8.8,54.0,5.99
455,santa vitoria,55,BR,1602989768,60,-18.84,-50.12,77.68,4.83
456,klaksvik,96,FO,1602989768,93,62.23,-6.59,35.6,1.12
457,meulaboh,78,ID,1602989768,63,4.14,96.13,84.78,3.0
458,goderich,100,CA,1602989645,56,43.75,-81.72,50.0,28.95
459,cocobeach,75,GA,1602989768,88,1.0,9.58,78.8,9.17
460,kem,100,RU,1602989768,95,64.96,34.58,40.5,7.0
461,aksum,0,ET,1602989769,77,14.12,38.72,53.38,2.59
462,buckingham,95,GB,1602989769,90,52.0,-0.99,48.0,4.27
463,alofi,100,NU,1602989769,83,-19.06,-169.92,82.4,12.75
464,avallon,53,FR,1602989769,95,47.48,3.9,41.0,0.47
465,sokoni,20,TZ,1602989769,94,-6.43,39.55,73.4,5.66
466,moratuwa,75,LK,1602989769,78,6.77,79.88,82.4,6.93
467,lashio,100,MM,1602989769,85,22.93,97.75,72.48,0.63
468,masunga,0,BW,1602989770,42,-20.62,27.45,67.03,5.88
469,esperance,7,AU,1602989770,55,-33.87,121.9,64.4,12.75
470,hongjiang,100,CN,1602989770,88,27.11,110.0,54.77,3.29
471,sibolga,97,ID,1602989702,62,1.74,98.78,84.99,3.49
472,korla,99,CN,1602989770,43,41.76,86.15,55.0,5.01
473,prince albert,90,CA,1602989530,53,53.2,-105.77,26.6,14.99
474,ryotsu,75,JP,1602989770,52,38.08,138.43,66.2,9.17
475,obzor,40,BG,1602989771,76,42.82,27.88,57.2,9.17
476,omboue,86,GA,1602989771,90,-1.57,9.26,75.69,6.26
477,guerrero negro,27,MX,1602989771,72,27.98,-114.06,73.08,11.05
478,akhmeta,0,GE,1602989771,87,42.03,45.21,53.6,2.68
479,shache,0,CN,1602989771,30,38.42,77.24,58.86,3.53
480,mahon,0,ES,1602989771,76,39.89,4.27,53.6,6.93
481,mogadishu,82,SO,1602989771,81,2.04,45.34,78.76,13.04
482,samdari,13,IN,1602989771,38,25.82,72.58,88.25,10.22
483,gat,0,IL,1602989701,76,31.61,34.76,70.0,3.27
484,nantucket,1,US,1602989772,50,41.28,-70.1,55.0,3.36
485,polyarnyy,90,RU,1602989772,100,69.2,33.45,23.0,4.47
486,nishihara,20,JP,1602989772,65,26.18,127.76,82.4,11.41
487,kaeo,21,NZ,1602989772,61,-35.1,173.78,64.15,10.29
488,yurimaguas,38,PE,1602989772,92,-5.9,-76.08,73.2,1.66
489,honiara,40,SB,1602989772,74,-9.43,159.95,87.8,10.29
490,mwinilunga,32,ZM,1602989772,63,-11.74,24.43,63.23,3.42
491,sulina,0,RO,1602989773,64,45.16,29.65,55.53,11.77
492,poitiers,0,FR,1602989773,87,46.58,0.33,46.4,4.7
493,thunder bay,90,CA,1602989557,89,48.4,-89.32,33.8,8.05
494,evensk,100,RU,1602989773,79,61.95,159.23,36.72,14.52
495,seydi,0,TM,1602989773,34,39.48,62.91,56.66,4.54
496,rocha,78,UY,1602989513,74,-34.48,-54.33,64.0,9.71
497,kavaratti,35,IN,1602989773,78,10.57,72.64,81.43,9.82
498,dakar,20,SN,1602989773,94,14.69,-17.44,78.8,6.93
499,padang,94,ID,1602989774,60,-0.95,100.35,85.3,2.62
500,hovd,29,MN,1602989774,49,48.01,91.64,42.62,1.23
501,meppel,28,NL,1602989774,98,52.7,6.19,44.01,7.43
502,minot,90,US,1602989774,58,48.23,-101.3,26.6,12.75
503,phatthalung,20,TH,1602989774,88,7.5,100.08,86.0,4.5
504,iisalmi,90,FI,1602989628,86,63.56,27.19,41.0,6.93
505,santo antonio do leverger,31,BR,1602989774,46,-15.87,-56.08,89.6,1.12
506,obodivka,97,UA,1602989774,94,48.41,29.25,46.0,6.62
507,shiraz,0,IR,1602989552,31,29.6,52.54,48.2,4.7
508,mazamet,0,FR,1602989775,93,43.49,2.37,44.01,3.36
509,sigli,100,ID,1602989775,58,5.38,95.96,86.22,4.63
510,akyab,99,MM,1602989516,80,20.15,92.9,82.9,7.4
511,nakskov,100,DK,1602989775,88,54.84,11.13,51.01,3.0
512,hearst,100,CA,1602989775,97,49.68,-83.67,32.5,10.49
513,belturbet,47,IE,1602989775,91,54.1,-7.45,48.99,1.97
514,balkhash,100,KZ,1602989775,65,46.84,74.98,44.6,6.71
515,sur,0,OM,1602989776,41,22.57,59.53,82.24,16.87
516,arlit,0,NE,1602989708,14,18.74,7.39,86.47,5.19
517,killybegs,81,IE,1602989776,88,54.63,-8.45,47.46,5.73
518,neverkino,99,RU,1602989776,65,52.79,46.74,40.64,18.25
519,adre,14,TD,1602989776,22,13.47,22.2,74.37,8.48
520,san lawrenz,20,MT,1602989776,72,36.06,14.2,64.99,9.17
521,karratha,1,AU,1602989776,37,-20.74,116.85,81.99,16.53
522,aklavik,20,CA,1602989776,62,68.22,-135.01,19.4,2.24
523,upata,100,VE,1602989776,94,8.01,-62.4,72.52,3.49
524,cam ranh,40,VN,1602989777,66,11.92,109.16,89.6,8.05
525,sipoo,75,FI,1602989777,93,60.38,25.27,45.0,4.7
526,kifri,0,IQ,1602989777,29,34.7,44.97,62.73,3.18
527,west bay,20,KY,1602989777,79,19.37,-81.42,86.0,13.87
528,ambilobe,0,MG,1602989778,75,-13.2,49.05,69.94,3.04
529,nalut,100,LY,1602989778,83,30.33,10.85,59.09,16.89
530,salinopolis,46,BR,1602989778,79,-0.61,-47.36,78.8,10.22
531,ndende,100,GA,1602989778,96,-2.4,11.36,72.46,1.57
532,nelson bay,90,AU,1602989778,73,-32.72,152.15,69.8,9.17
533,miraflores,20,MX,1602989778,55,19.22,-98.81,64.4,11.41
534,pontian kecil,20,MY,1602989779,88,1.48,103.39,78.8,1.12
535,atar,22,MR,1602989779,29,20.52,-13.05,86.11,7.63
536,griffith,90,US,1602989779,33,41.53,-87.42,59.0,18.34
537,la seyne-sur-mer,0,FR,1602989779,76,43.1,5.88,50.0,4.7
538,vallenar,0,CL,1602989779,54,-28.57,-70.76,60.48,0.81
539,malakal,66,SS,1602989779,94,9.53,31.66,69.73,3.44
540,nanortalik,66,GL,1602989779,83,60.14,-45.24,39.16,3.96
541,semnan,0,IR,1602989780,40,35.57,53.4,49.44,1.23
542,port moresby,40,PG,1602989780,66,-9.44,147.18,89.6,11.41
543,den helder,90,NL,1602989780,87,52.96,4.76,51.01,3.36
544,bagdarin,67,RU,1602989780,84,54.43,113.6,31.46,4.63
545,cockburn town,88,TC,1602989780,79,21.46,-71.14,83.64,22.21
546,san quintin,0,MX,1602989780,83,30.48,-115.95,69.19,9.06
547,nizhnevartovsk,75,RU,1602989780,92,60.93,76.55,30.2,13.42
548,gamba,100,GA,1602989780,88,-2.65,10.0,76.35,5.44
549,musoma,75,TZ,1602989649,83,-1.5,33.8,69.8,6.15
550,yuancheng,100,CN,1602989780,40,36.65,107.79,52.7,10.8
551,muzhi,95,RU,1602989781,95,65.37,64.67,24.85,11.3
552,dawei,99,MM,1602989781,86,14.08,98.2,74.86,6.42
553,prieska,0,ZA,1602989781,24,-29.66,22.75,64.6,3.58
554,inirida,48,CO,1602989781,95,3.87,-67.92,73.62,2.44
555,palana,100,RU,1602989781,91,59.12,159.97,34.99,22.95
556,ziway,88,ET,1602989781,73,7.93,38.72,62.73,3.38
557,el alto,92,PE,1602989781,89,-4.27,-81.21,63.25,13.76
558,sale,0,MA,1602989750,93,34.04,-6.82,57.99,5.26
559,prince rupert,90,CA,1602989782,81,54.32,-130.32,44.6,4.7
560,keti bandar,100,PK,1602989782,62,24.14,67.45,85.23,8.93
561,ozark,87,US,1602989782,40,37.02,-93.21,62.01,1.01
562,mrakovo,75,RU,1602989782,93,52.72,56.62,32.34,1.63
563,nisia floresta,20,BR,1602989782,83,-6.09,-35.21,75.2,3.36
564,margate,83,GB,1602989782,92,51.38,1.39,52.0,4.0
565,saint-francois,75,FR,1602989782,87,46.42,3.91,46.4,3.36
